orth,base,ctag
alkoholowa,alkoholowy,adj:sg:nom:f:pos
alkoholowe,alkoholowy,adj:sg:nom:n:pos
alkoholowego,alkoholowy,adj:sg:gen:m1:pos
alkoholowej,alkoholowy,adj:sg:gen:f:pos
alkoholowy,alkoholowy,adj:sg:nom:m1:pos
alkoholowych,alkoholowy,adj:pl:gen:m1:pos
alkoholowym,alkoholowy,adj:sg:inst:m1:pos
alkoholowymi,alkoholowy,adj:pl:inst:m1:pos
alkoholową,alkoholowy,adj:sg:acc:f:pos
alkoholu,alkohol,subst:sg:gen:m3
alków,alkowa,subst:pl:gen:f
allilo,allilo,ign
alliloprodyna,alliloprodyna,ign
allogeniczne,allogeniczne,ign
allogenicznego,allogenicznego,ign
aln,aln,ign
alnego,alnego,ign
alność,alność,ign
alny,alny,ign
alokacja,alokacja,subst:sg:nom:f
alokacji,alokacja,subst:sg:gen:f
alokację,alokacja,subst:sg:acc:f
alokowanej,alokować,ppas:sg:gen:f:imperf:aff
alpinizmu,alpinizm,subst:sg:gen:m3
altan,altana,subst:pl:gen:f
altanek,altanka,subst:pl:gen:f
alternatywne,alternatywny,adj:sg:nom:n:pos
alternatywnego,alternatywny,adj:sg:gen:m1:pos
alternatywnie,alternatywnie,adv:pos
alternatywny,alternatywny,adj:sg:nom:m1:pos
alternatywnych,alternatywny,adj:pl:gen:m1:pos
alternatywnym,alternatywny,adj:sg:inst:m1:pos
alternatywnymi,alternatywny,adj:pl:inst:m1:pos
alternatywną,alternatywny,adj:sg:acc:f:pos
aluminiowa,aluminiowy,adj:sg:nom:f:pos
aluminiowe,aluminiowy,adj:sg:nom:n:pos
aluminium,aluminium,subst:sg:nom:n
alumnami,alumn,subst:pl:inst:m1
alumni,alumn,subst:pl:nom:m1
alumnom,alumn,subst:pl:dat:m1
alumnów,alumn,subst:pl:gen:m1
am,Księga_Amosa,brev:npun
amaryllidaceae,amaryllidaceae,ign
amatora,amator,subst:sg:gen:m1
amatorski,amatorski,adj:sg:nom:m1:pos
amatorskiego,amatorski,adj:sg:gen:m1:pos
amatorskiej,amatorski,adj:sg:gen:f:pos
amatorskim,amatorski,adj:sg:inst:m1:pos
amatorsko,amatorsko,adv:pos
amazonek,amazonka,subst:pl:gen:f
ambasador,ambasador,subst:sg:nom:m1
ambasadora,ambasador,subst:sg:gen:m1
ambasadorem,ambasador,subst:sg:inst:m1
ambasadorowi,ambasador,subst:sg:dat:m1
ambasadorowie,ambasador,subst:pl:nom:m1
ambasadorze,ambasador,subst:sg:loc:m1
ambasadorów,ambasador,subst:pl:gen:m1
ambulans,ambulans,subst:sg:nom:m3
ambulansów,ambulans,subst:pl:gen:m3
ambulatorium,ambulatorium,subst:sg:nom:n
ambulatoryjne,ambulatoryjny,adj:sg:nom:n:pos
ambulatoryjnej,ambulatoryjny,adj:sg:gen:f:pos
ambulatoryjnemu,ambulatoryjny,adj:sg:dat:m1:pos
ambulatoryjnych,ambulatoryjny,adj:pl:gen:m1:pos
ambulatoryjnym,ambulatoryjny,adj:sg:inst:m1:pos
american,american,ign
amerykański,amerykański,adj:sg:nom:m1:pos
ameryki,ameryk,subst:pl:nom:m3
amfibolity,amfibolit,subst:pl:nom:m3
ami,ami,ign
amid,amid,subst:sg:nom:m3
amido,amido,ign
amidow,amidow,ign
amidowego,amidowy,adj:sg:gen:m1:pos
amidowej,amidowy,adj:sg:gen:f:pos
amidowy,amidowy,adj:sg:nom:m1:pos
aminadodatek,aminadodatek,ign
amino,amina,subst:sg:voc:f
aminobutylo,aminobutylo,ign
aminofenetylo,aminofenetylo,ign
aminokwasy,aminokwas,subst:pl:nom:m3
aminokwasów,aminokwas,subst:pl:gen:m3
aminopropiofenon,aminopropiofenon,ign
aminy,amina,subst:sg:gen:f
amnestii,amnestia,subst:sg:gen:f
amnestię,amnestia,subst:sg:acc:f
amo,amo,ign
amoniaku,amoniak,subst:sg:gen:m3
amono,amono,ign
amonow,amonow,ign
amonoweg,amonoweg,ign
amonowego,amonowy,adj:sg:gen:m1:pos
amonowej,amonowy,adj:sg:gen:f:pos
amonowo,amonowo,ign
amonowy,amonowy,adj:sg:nom:m1:pos
amonowym,amonowy,adj:sg:inst:m1:pos
amonu,amon,subst:sg:gen:m3
amortyzacja,amortyzacja,subst:sg:nom:f
amortyzacji,amortyzacja,subst:sg:gen:f
amortyzacją,amortyzacja,subst:sg:inst:f
amortyzację,amortyzacja,subst:sg:acc:f
amortyzacyjna,amortyzacyjny,adj:sg:nom:f:pos
amortyzacyjne,amortyzacyjny,adj:sg:nom:n:pos
amortyzacyjnego,amortyzacyjny,adj:sg:gen:m1:pos
amortyzacyjnej,amortyzacyjny,adj:sg:gen:f:pos
amortyzacyjnych,amortyzacyjny,adj:pl:gen:m1:pos
amortyzacyjnym,amortyzacyjny,adj:sg:inst:m1:pos
amortyzacyjnymi,amortyzacyjny,adj:pl:inst:m1:pos
amortyzacyjną,amortyzacyjny,adj:sg:acc:f:pos
amortyzowanego,amortyzować,ppas:sg:gen:m1:imperf:aff
amortyzowania,amortyzować,ger:sg:gen:n:imperf:aff
amortyzowaniu,amortyzować,ger:sg:dat:n:imperf:aff
amortyzowanych,amortyzować,ppas:pl:gen:m1:imperf:aff
ampułek,ampułka,subst:pl:gen:f
ampułkach,ampułka,subst:pl:loc:f
ampułkami,ampułka,subst:pl:inst:f
amunicja,amunicja,subst:sg:nom:f
amunicji,amunicja,subst:sg:gen:f
amunicją,amunicja,subst:sg:inst:f
amunicję,amunicja,subst:sg:acc:f
an,an,ign
ana,ana,ign
anaboliczne,anaboliczny,adj:sg:nom:n:pos
anabolicznych,anaboliczny,adj:pl:gen:m1:pos
anaemia,anaemia,ign
analityczne,analityczny,adj:sg:nom:n:pos
analitycznego,analityczny,adj:sg:gen:m1:pos
analitycznej,analityczny,adj:sg:gen:f:pos
analityczny,analityczny,adj:sg:nom:m1:pos
analitycznych,analityczny,adj:pl:gen:m1:pos
analityki,analityka,subst:sg:gen:f
analityków,analityk,subst:pl:gen:m1
analityką,analityka,subst:sg:inst:f
analiz,analiza,subst:pl:gen:f
analiza,analiza,subst:sg:nom:f
analizach,analiza,subst:pl:loc:f
analizami,analiza,subst:pl:inst:f
analizie,analiza,subst:sg:dat:f
analizom,analiza,subst:pl:dat:f
analizowane,analizować,ppas:sg:nom:n:imperf:aff
analizowanego,analizować,ppas:sg:gen:m1:imperf:aff
analizowania,analizować,ger:sg:gen:n:imperf:aff
analizowanie,analizować,ger:sg:nom:n:imperf:aff
analizowaniem,analizować,ger:sg:inst:n:imperf:aff
analizowaniu,analizować,ger:sg:dat:n:imperf:aff
analizowanych,analizować,ppas:pl:gen:m1:imperf:aff
analizować,analizować,inf:imperf
analizuje,analizować,fin:sg:ter:imperf
analizy,analiza,subst:sg:gen:f
analizą,analiza,subst:sg:inst:f
analizę,analiza,subst:sg:acc:f
analogiczna,analogiczny,adj:sg:nom:f:pos
analogiczne,analogiczny,adj:sg:nom:n:pos
analogicznego,analogiczny,adj:sg:gen:m1:pos
analogiczny,analogiczny,adj:sg:nom:m1:pos
analogicznych,analogiczny,adj:pl:gen:m1:pos
analogicznym,analogiczny,adj:sg:inst:m1:pos
analogiczną,analogiczny,adj:sg:acc:f:pos
analogowego,analogowy,adj:sg:gen:m1:pos
analogowej,analogowy,adj:sg:gen:f:pos
analogowych,analogowy,adj:pl:gen:m1:pos
analysis,analysis,ign
ananasy,ananas,subst:pl:nom:m2
anas,anas,ign
anastasis,anastasis,ign
anatomicznej,anatomiczny,adj:sg:gen:f:pos
anatomiczno,anatomiczno,ign
and,Anda,subst:pl:gen:f
andory,Andora,subst:sg:gen:f
ane,ane,ign
aneks,aneks,subst:sg:nom:m3
aneksie,aneks,subst:sg:loc:m3
aneksom,aneks,subst:pl:dat:m3
aneksu,aneks,subst:sg:gen:m3
anemia,anemia,subst:sg:nom:f
anestezjologii,anestezjologia,subst:sg:gen:f
angażowania,angażować,ger:sg:gen:n:imperf:aff
angażowanych,angażować,ppas:pl:gen:m1:imperf:aff
angażujących,angażować,pact:pl:gen:m1:imperf:aff
angielski,angielski,subst:sg:nom:m3
angielskiego,angielski,subst:sg:gen:m3
angielskiej,angielski,adj:sg:gen:f:pos
angielskim,angielski,subst:sg:inst:m3
anglojęzycznych,anglojęzyczny,adj:pl:gen:m1:pos
anhydrytu,anhydryt,subst:sg:gen:m3
anhydryty,anhydryt,subst:pl:nom:m3
ani,ani,conj
ania,Ania,subst:sg:nom:f
anidyny,anidyny,ign
anie,Ania,subst:pl:nom:f
anilerydyna,anilerydyna,ign
animacji,animacja,subst:sg:gen:f
animowanego,animowany,adj:sg:gen:m1:pos
animowanych,animowany,adj:pl:gen:m1:pos
anionu,anion,subst:sg:gen:m3
aniżeli,aniżeli,conj
ankiecie,ankieta,subst:sg:dat:f
ankiet,ankieta,subst:pl:gen:f
ankieta,ankieta,subst:sg:nom:f
ankietach,ankieta,subst:pl:loc:f
ankieterom,ankieter,subst:pl:dat:m1
ankieterzy,ankieter,subst:pl:nom:m1
ankieterów,ankieter,subst:pl:gen:m1
ankiety,ankieta,subst:sg:gen:f
ankietą,ankieta,subst:sg:inst:f
ankietę,ankieta,subst:sg:acc:f
ano,ano,interj
anonimizacja,anonimizacja,ign
anonimizacji,anonimizacji,ign
anonimowe,anonimowy,adj:sg:nom:n:pos
anonimowo,anonimowo,adv:pos
anonimowości,anonimowość,subst:sg:gen:f
anonimowy,anonimowy,adj:sg:nom:m1:pos
anonimowych,anonimowy,adj:pl:gen:m1:pos
anorak,anorak,subst:sg:nom:m3
anser,anser,ign
antarktyce,Antarktyka,subst:sg:dat:f
ante,Ante,subst:sg:nom:m1
anten,antena,subst:pl:gen:f
antenowego,antenowy,adj:sg:gen:m1:pos
antenowy,antenowy,adj:sg:nom:m1:pos
antenowych,antenowy,adj:pl:gen:m1:pos
antenowym,antenowy,adj:sg:inst:m1:pos
anteny,antena,subst:sg:gen:f
antenę,antena,subst:sg:acc:f
anthracis,anthracis,ign
anthrax,anthrax,ign
antidota,antidotum,subst:pl:nom:n
antresoli,antresola,subst:sg:gen:f
antropogeniczny,antropogeniczny,adj:sg:nom:m1:pos
antropogenicznych,antropogeniczny,adj:pl:gen:m1:pos
antrykot,antrykot,subst:sg:nom:m3
antrykotu,antrykot,subst:sg:gen:m3
antybiotyki,antybiotyk,subst:pl:nom:m3
antybiotykooporności,antybiotykooporności,ign
antybiotykoterapii,antybiotykoterapii,ign
antybiotykw,antybiotykw,ign
antybiotyków,antybiotyk,subst:pl:gen:m3
antydopingowe,antydopingowy,adj:sg:nom:n:pos
antydopingowej,antydopingowy,adj:sg:gen:f:pos
antydopingowych,antydopingowy,adj:pl:gen:m1:pos
antydopingowym,antydopingowy,adj:sg:inst:m1:pos
antydumpingowe,antydumpingowy,adj:sg:nom:n:pos
antydumpingowego,antydumpingowy,adj:sg:gen:m1:pos
antydumpingowemu,antydumpingowy,adj:sg:dat:m1:pos
antydumpingowych,antydumpingowy,adj:pl:gen:m1:pos
antydumpingowym,antydumpingowy,adj:sg:inst:m1:pos
antydumpingowymi,antydumpingowy,adj:pl:inst:m1:pos
antygenów,antygen,subst:pl:gen:m3
antyki,antyk,subst:pl:nom:m3
antykomunistycznej,antykomunistyczny,adj:sg:gen:f:pos
antykoncepcyjnymi,antykoncepcyjny,adj:pl:inst:m1:pos
antykonkurencyjnym,antykonkurencyjny,adj:sg:inst:m1:pos
antykorozyjne,antykorozyjny,adj:sg:nom:n:pos
antykorozyjnego,antykorozyjny,adj:sg:gen:m1:pos
antykorozyjnych,antykorozyjny,adj:pl:gen:m1:pos
antykorozyjnymi,antykorozyjny,adj:pl:inst:m1:pos
antykorupcyjne,antykorupcyjny,adj:sg:nom:n:pos
antykorupcyjnego,antykorupcyjny,adj:sg:gen:m1:pos
antykorupcyjnemu,antykorupcyjny,adj:sg:dat:m1:pos
antykorupcyjnym,antykorupcyjny,adj:sg:inst:m1:pos
antykwariaty,antykwariat,subst:pl:nom:m3
antymon,antymon,subst:sg:nom:m3
antymonopolowe,antymonopolowa,subst:pl:nom:f
antymonopolowego,antymonopolowy,subst:sg:gen:m3
antymonopolowemu,antymonopolowy,subst:sg:dat:m3
antymonopolowy,antymonopolowy,subst:sg:nom:m3
antymonopolowych,antymonopolowa,subst:pl:gen:f
antymonopolowym,antymonopolowa,subst:pl:dat:f
antymonu,antymon,subst:sg:gen:m3
antysabotażowych,antysabotażowy,adj:pl:gen:m1:pos
antyseptyków,antyseptyk,subst:pl:gen:m3
antyterrorystyczne,antyterrorystyczny,adj:sg:nom:n:pos
antyterrorystycznych,antyterrorystyczny,adj:pl:gen:m1:pos
antywłamaniowych,antywłamaniowy,adj:pl:gen:m1:pos
anu,anu,ign
anulowane,anulować,ppas:sg:nom:n:imperf:aff
anulowania,anulowanie,subst:sg:gen:n
anulować,anulować,inf:imperf
anuluje,anulować,fin:sg:ter:imperf
any,any,ign
aparat,aparat,subst:sg:nom:m1
aparatami,aparat,subst:pl:inst:m1
aparatem,aparat,subst:sg:inst:m1
aparatowego,aparatowy,adj:sg:gen:m1:pos
aparatu,aparat,subst:sg:gen:m3
aparatura,aparatura,subst:sg:nom:f
aparatury,aparatura,subst:sg:gen:f
aparaturze,aparatura,subst:sg:dat:f
aparaturą,aparatura,subst:sg:inst:f
aparaturę,aparatura,subst:sg:acc:f
aparaty,aparat,subst:pl:nom:m3
aparatów,aparat,subst:pl:gen:m1
apaszek,apaszka,subst:pl:gen:f
apelacja,apelacja,subst:sg:nom:f
apelacji,apelacja,subst:sg:gen:f
apelacją,apelacja,subst:sg:inst:f
apelację,apelacja,subst:sg:acc:f
apelacyjne,apelacyjny,adj:sg:nom:n:pos
apelacyjnego,apelacyjny,adj:sg:gen:m1:pos
apelacyjnej,apelacyjny,adj:sg:gen:f:pos
apelacyjnemu,apelacyjny,adj:sg:dat:m1:pos
apelacyjni,apelacyjny,adj:pl:nom:m1:pos
apelacyjny,apelacyjny,adj:sg:nom:m1:pos
apelacyjnych,apelacyjny,adj:pl:gen:m1:pos
apelacyjnym,apelacyjny,adj:sg:inst:m1:pos
apelacyjną,apelacyjny,adj:sg:acc:f:pos
apele,apel,subst:pl:nom:m3
apewnianie,apewnianie,ign
aplikacja,aplikacja,subst:sg:nom:f
aplikacji,aplikacja,subst:sg:gen:f
aplikacją,aplikacja,subst:sg:inst:f
aplikację,aplikacja,subst:sg:acc:f
aplikanci,aplikant,subst:pl:nom:m1
aplikant,aplikant,subst:sg:nom:m1
aplikanta,aplikant,subst:sg:gen:m1
aplikantami,aplikant,subst:pl:inst:m1
aplikantem,aplikant,subst:sg:inst:m1
aplikantom,aplikant,subst:pl:dat:m1
aplikantow,aplikantow,ign
aplikantowi,aplikant,subst:sg:dat:m1
aplikantów,aplikant,subst:pl:gen:m1
aport,aport,subst:sg:nom:m3
aportem,aport,subst:sg:inst:m3
aportu,aport,subst:sg:gen:m3
aporty,aport,subst:pl:nom:m3
apostille,apostille,ign
apostolską,apostolski,adj:sg:acc:f:pos
apreturowanie,apreturować,ger:sg:nom:n:imperf:aff
aprobat,aprobata,subst:pl:gen:f
aprobaty,aprobata,subst:sg:gen:f
aprobatą,aprobata,subst:sg:inst:f
aptece,apteka,subst:sg:dat:f
apteczne,apteczny,adj:sg:nom:n:pos
aptecznego,apteczny,adj:sg:gen:m1:pos
aptecznej,apteczny,adj:sg:gen:f:pos
apteczny,apteczny,adj:sg:nom:m1:pos
aptecznych,apteczny,adj:pl:gen:m1:pos
aptecznym,apteczny,adj:sg:inst:m1:pos
aptecznymi,apteczny,adj:pl:inst:m1:pos
aptek,apteka,subst:pl:gen:f
apteka,apteka,subst:sg:nom:f
aptekach,apteka,subst:pl:loc:f
aptekami,apteka,subst:pl:inst:f
aptekarska,aptekarski,adj:sg:nom:f:pos
aptekarskich,aptekarski,adj:pl:gen:m1:pos
aptekarskiego,aptekarski,adj:sg:gen:m1:pos
aptekarskiej,aptekarski,adj:sg:gen:f:pos
aptekarskim,aptekarski,adj:sg:inst:m1:pos
aptekarską,aptekarski,adj:sg:acc:f:pos
aptekarz,aptekarz,subst:sg:nom:m1
aptekarza,aptekarz,subst:sg:gen:m1
aptekarzem,aptekarz,subst:sg:inst:m1
aptekarzy,aptekarz,subst:pl:gen:m1
apteki,apteka,subst:sg:gen:f
aptekom,apteka,subst:pl:dat:f
apteką,apteka,subst:sg:inst:f
aptekę,apteka,subst:sg:acc:f
ar,ar,subst:sg:nom:m3
ara,ar,subst:sg:gen:m3
arabskich,arabski,subst:pl:gen:m3
arabskiego,arabski,subst:sg:gen:m3
arabskiej,arabski,adj:sg:gen:f:pos
arbiter,arbiter,subst:sg:nom:m1
arbitra,arbiter,subst:sg:gen:m1
arbitralnych,arbitralny,adj:pl:gen:m1:pos
arbitrażowe,arbitrażowy,adj:sg:nom:n:pos
arbitrażowi,arbitraż,subst:sg:dat:m3
arbitrażowy,arbitrażowy,adj:sg:nom:m1:pos
arbitrażowym,arbitrażowy,adj:sg:inst:m1:pos
arbitrażowymi,arbitrażowy,adj:pl:inst:m1:pos
arbitrażową,arbitrażowy,adj:sg:acc:f:pos
arbitrażu,arbitraż,subst:sg:gen:m3
arbitrem,arbiter,subst:sg:inst:m1
arbitrom,arbiter,subst:pl:dat:m1
arbitrowi,arbiter,subst:sg:dat:m1
arbitrzy,arbiter,subst:pl:nom:m1
arbitrów,arbiter,subst:pl:gen:m1
arbuzami,arbuz,subst:pl:inst:m2
archeologiczne,archeologiczny,adj:sg:nom:n:pos
archeologicznego,archeologiczny,adj:sg:gen:m1:pos
archeologicznych,archeologiczny,adj:pl:gen:m1:pos
archeologiczną,archeologiczny,adj:sg:acc:f:pos
archidiecezji,archidiecezja,subst:sg:gen:f
architekt,architekt,subst:sg:nom:m1
architekta,architekt,subst:sg:gen:m1
architektoniczne,architektoniczny,adj:sg:nom:n:pos
architektonicznego,architektoniczny,adj:sg:gen:m1:pos
architektonicznej,architektoniczny,adj:sg:gen:f:pos
architektoniczno,architektoniczno,ign
architektonicznobudowlanej,architektonicznobudowlany,adj:sg:gen:f:pos
architektonicznych,architektoniczny,adj:pl:gen:m1:pos
architektowi,architekt,subst:sg:dat:m1
architektura,architektura,subst:sg:nom:f
architektury,architektura,subst:sg:gen:f
architekturą,architektura,subst:sg:inst:f
architektów,architekt,subst:pl:gen:m1
archiwa,archiwum,subst:pl:nom:n
archiwach,archiwum,subst:pl:loc:n
archiwalna,archiwalny,adj:sg:nom:f:pos
archiwalne,archiwalny,adj:sg:nom:n:pos
archiwalnego,archiwalny,adj:sg:gen:m1:pos
archiwalnej,archiwalny,adj:sg:gen:f:pos
archiwalny,archiwalny,adj:sg:nom:m1:pos
archiwalnych,archiwalny,adj:pl:gen:m1:pos
archiwalnym,archiwalny,adj:sg:inst:m1:pos
archiwalnymi,archiwalny,adj:pl:inst:m1:pos
archiwalną,archiwalny,adj:sg:acc:f:pos
archiwami,archiwum,subst:pl:inst:n
archiwizacji,archiwizacja,subst:sg:gen:f
archiwizowane,archiwizować,ppas:sg:nom:n:imperf:aff
archiwizowania,archiwizować,ger:sg:gen:n:imperf:aff
archiwizowanie,archiwizować,ger:sg:nom:n:imperf:aff
archiwizować,archiwizować,inf:imperf
archiwizuje,archiwizować,fin:sg:ter:imperf
archiwom,archiwum,subst:pl:dat:n
archiwum,archiwum,subst:sg:nom:n
archiwów,archiwum,subst:pl:gen:n
areca,areca,ign
arenie,arena,subst:sg:dat:f
areszcie,areszt,subst:sg:loc:m3
areszt,areszt,subst:sg:nom:m3
aresztach,areszt,subst:pl:loc:m3
aresztami,areszt,subst:pl:inst:m3
aresztem,areszt,subst:sg:inst:m3
aresztowana,aresztowana,subst:sg:nom:f
aresztowane,aresztowana,subst:pl:nom:f
aresztowanego,aresztowany,subst:sg:gen:m1
aresztowanej,aresztowana,subst:sg:gen:f
aresztowanemu,aresztowany,subst:sg:dat:m1
aresztowani,aresztowany,subst:pl:nom:m1
aresztowania,aresztowanie,subst:sg:gen:n
aresztowanie,aresztowanie,subst:sg:nom:n
aresztowaniem,aresztowanie,subst:sg:inst:n
aresztowaniu,aresztowanie,subst:sg:dat:n
aresztowany,aresztowany,subst:sg:nom:m1
aresztowanych,aresztowana,subst:pl:gen:f
aresztowanym,aresztowana,subst:pl:dat:f
aresztowanymi,aresztowana,subst:pl:inst:f
aresztowaną,aresztowana,subst:sg:acc:f
aresztu,areszt,subst:sg:gen:m3
areszty,areszt,subst:pl:nom:m3
aresztów,areszt,subst:pl:gen:m3
argumenty,argument,subst:pl:nom:m3
argyreia,argyreia,ign
arizone,arizone,ign
arka,arka,subst:sg:nom:f
arktyce,Arktyka,subst:sg:dat:f
arkusz,arkusz,subst:sg:nom:m3
arkusza,arkusz,subst:sg:gen:m3
arkuszach,arkusz,subst:pl:loc:m3
arkusze,arkusz,subst:pl:nom:m3
arkuszu,arkusz,subst:sg:loc:m3
arkuszy,arkusz,subst:pl:gen:m3
armator,armator,subst:sg:nom:m1
armatora,armator,subst:sg:gen:m1
armatorami,armator,subst:pl:inst:m1
armatorem,armator,subst:sg:inst:m1
armatorom,armator,subst:pl:dat:m1
armatorowi,armator,subst:sg:dat:m1
armatorską,armatorski,adj:sg:acc:f:pos
armatorze,armator,subst:sg:loc:m1
armatorzy,armator,subst:pl:nom:m1
armatorów,armator,subst:pl:gen:m1
armatur,armatura,subst:pl:gen:f
armatura,armatura,subst:sg:nom:f
armatury,armatura,subst:sg:gen:f
armenii,Armenia,subst:sg:gen:f
armiach,armia,subst:pl:loc:f
armii,armia,subst:sg:gen:f
aromat,aromat,subst:sg:nom:m3
aromatu,aromat,subst:sg:gen:m3
aromatyczna,aromatyczny,adj:sg:nom:f:pos
aromatyczne,aromatyczny,adj:sg:nom:n:pos
aromatyczno,aromatyczno,ign
aromatycznych,aromatyczny,adj:pl:gen:m1:pos
aromatycznymi,aromatyczny,adj:pl:inst:m1:pos
aromatyzacja,aromatyzacja,subst:sg:nom:f
aromatyzacji,aromatyzacja,subst:sg:gen:f
aromatyzowane,aromatyzować,ppas:sg:nom:n:imperf:aff
aromatyzowanego,aromatyzować,ppas:sg:gen:m1:imperf:aff
aromatyzowanych,aromatyzować,ppas:pl:gen:m1:imperf:aff
aronii,aronia,subst:sg:gen:f
arow,arow,ign
arr,arr,ign
arsen,arsen,subst:sg:nom:m3
arsenu,arsen,subst:sg:gen:m3
art,art,ign
arteritis,arteritis,ign
arthritis,arthritis,ign
artykule,artykuł,subst:sg:loc:m3
artykuł,artykuł,subst:sg:nom:m3
artykułach,artykuł,subst:pl:loc:m3
artykułami,artykuł,subst:pl:inst:m3
artykułem,artykuł,subst:sg:inst:m3
artykułowi,artykuł,subst:sg:dat:m3
artykułu,artykuł,subst:sg:gen:m3
artykuły,artykuł,subst:pl:nom:m3
artykułów,artykuł,subst:pl:gen:m3
artysta,artysta,subst:sg:nom:m1
artystom,artysta,subst:pl:dat:m1
artysty,artysta,subst:sg:gen:m1
artystyczne,artystyczny,adj:sg:nom:n:pos
artystycznego,artystyczny,adj:sg:gen:m1:pos
artystycznej,artystyczny,adj:sg:gen:f:pos
artystycznych,artystyczny,adj:pl:gen:m1:pos
artystycznym,artystyczny,adj:sg:inst:m1:pos
artystycznymi,artystyczny,adj:pl:inst:m1:pos
artystyczną,artystyczny,adj:sg:acc:f:pos
artystów,artysta,subst:pl:gen:m1
artystę,artysta,subst:sg:acc:m1
artyści,artysta,subst:pl:nom:m1
artyście,artysta,subst:sg:dat:m1
arytmetyczna,arytmetyczny,adj:sg:nom:f:pos
arytmetycznej,arytmetyczny,adj:sg:gen:f:pos
arytmetycznych,arytmetyczny,adj:pl:gen:m1:pos
arytmetyczną,arytmetyczny,adj:sg:acc:f:pos
asekuracji,asekuracja,subst:sg:gen:f
asekuracyjne,asekuracyjny,adj:sg:nom:n:pos
asenizacyjne,asenizacyjny,adj:sg:nom:n:pos
asenizacyjnych,asenizacyjny,adj:pl:gen:m1:pos
asenizacyjnymi,asenizacyjny,adj:pl:inst:m1:pos
aseptycznych,aseptyczny,adj:pl:gen:m1:pos
asesor,asesor,subst:sg:nom:m1
asesora,asesor,subst:sg:gen:m1
asesorami,asesor,subst:pl:inst:m1
asesorem,asesor,subst:sg:inst:m1
asesorowi,asesor,subst:sg:dat:m1
asesorski,asesorski,adj:sg:nom:m1:pos
asesorskiego,asesorski,adj:sg:gen:m1:pos
asesorzy,asesor,subst:pl:nom:m1
asesorów,asesor,subst:pl:gen:m1
asesury,asesura,subst:sg:gen:f
asfalt,asfalt,subst:sg:nom:m1
asfaltowe,asfaltowy,adj:sg:nom:n:pos
asfaltu,asfalt,subst:sg:gen:m3
asfaltyty,asfaltyt,subst:pl:nom:m3
asi,Asia,subst:sg:gen:f
asistent,asistent,ign
asortymencie,asortyment,subst:sg:loc:m3
asortyment,asortyment,subst:sg:nom:m3
asortymentowe,asortymentowy,adj:sg:nom:n:pos
asortymentu,asortyment,subst:sg:gen:m3
aspekcie,aspekt,subst:sg:loc:m3
aspektach,aspekt,subst:pl:loc:m3
aspekty,aspekt,subst:pl:nom:m3
aspektów,aspekt,subst:pl:gen:m3
aspirancki,aspirancki,adj:sg:nom:m1:pos
aspirant,aspirant,subst:sg:nom:m1
aspiranta,aspirant,subst:sg:gen:m1
aspirantem,aspirant,subst:sg:inst:m1
aspirantów,aspirant,subst:pl:gen:m1
astm,astma,subst:pl:gen:f
astrologów,astrolog,subst:pl:gen:m1
astronomiczne,astronomiczny,adj:sg:nom:n:pos
asymilowanych,asymilować,ppas:pl:gen:m1:imperf:aff
asyst,asysta,subst:pl:gen:f
asysta,asysta,subst:sg:nom:f
asystach,asysta,subst:pl:loc:f
asystenci,asystent,subst:pl:nom:m1
asystent,asystent,subst:sg:nom:m1
asystenta,asystent,subst:sg:gen:m1
asystentkę,asystentka,subst:sg:acc:f
asystentowi,asystent,subst:sg:dat:m1
asystentów,asystent,subst:pl:gen:m1
asystowania,asystować,ger:sg:gen:n:imperf:aff
asystowanie,asystować,ger:sg:nom:n:imperf:aff
asystującego,asystować,pact:sg:gen:m1:imperf:aff
asystujących,asystować,pact:pl:gen:m1:imperf:aff
asysty,asysta,subst:sg:gen:f
asyście,asysta,subst:sg:dat:f
at,at,subst:sg:nom:m2
ata,at,subst:sg:gen:m2
ataku,atak,subst:sg:gen:m3
atakuje,atakować,fin:sg:ter:imperf
ataszatów,ataszat,subst:pl:gen:m3
atc,atc,ign
atcvet,atcvet,ign
atenach,Atena,subst:pl:loc:f
atest,atest,subst:sg:nom:m3
atestacja,atestacja,subst:sg:nom:f
atestację,atestacja,subst:sg:acc:f
atestowania,atestować,ger:sg:gen:n:imperf:aff
atestowany,atestować,ppas:sg:nom:m1:imperf:aff
atestowanych,atestować,ppas:pl:gen:m1:imperf:aff
atestu,atest,subst:sg:gen:m3
atesty,atest,subst:pl:nom:m3
atestów,atest,subst:pl:gen:m3
ateńskiej,ateński,adj:sg:gen:f:pos
ateńską,ateński,adj:sg:acc:f:pos
atlantyku,Atlantyk,subst:sg:gen:m3
atlasów,atlas,subst:pl:gen:m2
atmosfe,atmosfe,ign
atmosfery,atmosfera,subst:sg:gen:f
atmosferyazotu,atmosferyazotu,ign
atmosferyc,atmosferyc,ign
atmosferyczn,atmosferyczn,ign
atmosferyczne,atmosferyczny,adj:sg:nom:n:pos
atmosferycznego,atmosferyczny,adj:sg:gen:m1:pos
atmosferycznych,atmosferyczny,adj:pl:gen:m1:pos
atmosferycznym,atmosferyczny,adj:sg:inst:m1:pos
atmosferycznymi,atmosferyczny,adj:pl:inst:m1:pos
atmosferze,atmosfera,subst:sg:dat:f
atmosferą,atmosfera,subst:sg:inst:f
atomistyki,atomistyka,subst:sg:gen:f
